user_id,stock,price,quantity,side,timestamp
39,AAPL,236.62,21,Buy,2025-03-03
15,AAPL,237.13,38,Buy,2025-03-03
19,AAPL,233.54,39,Buy,2025-03-03
19,AAPL,241.52,19,Buy,2025-03-03
11,AAPL,232.95,46,Buy,2025-03-03
41,AAPL,235.19,34,Buy,2025-03-03
4,AAPL,235.63,9,Buy,2025-03-03
25,AAPL,238.16,21,Buy,2025-03-03
29,AAPL,234.69,45,Buy,2025-03-03
36,AAPL,239.11,17,Buy,2025-03-03
30,AAPL,240.66,31,Buy,2025-03-03
2,AAPL,234.71,7,Buy,2025-03-03
47,AAPL,235.57,18,Buy,2025-03-03
46,AAPL,234.91,19,Buy,2025-03-03
26,AAPL,235.2,40,Buy,2025-03-03
29,AAPL,235.39,47,Buy,2025-03-03
45,AAPL,239.7,49,Buy,2025-03-03
27,AAPL,237.47,19,Buy,2025-03-03
32,AAPL,240.22,29,Buy,2025-03-03
31,AAPL,234.05,17,Buy,2025-03-03
37,AAPL,233.69,40,Buy,2025-03-03
7,AAPL,238.17,21,Buy,2025-03-03
2,AAPL,237.12,2,Sell,2025-03-03
25,AAPL,237.04,8,Buy,2025-03-03
48,AAPL,239.76,3,Buy,2025-03-03
16,AAPL,237.81,21,Buy,2025-03-03
36,AAPL,233.06,34,Buy,2025-03-03
18,AAPL,240.06,34,Buy,2025-03-03
21,AAPL,241.2,18,Buy,2025-03-03
2,AAPL,237.64,11,Buy,2025-03-03
12,AAPL,237.84,13,Buy,2025-03-04
25,AAPL,235.03,19,Buy,2025-03-04
16,AAPL,234.61,38,Buy,2025-03-04
12,AAPL,239.14,9,Buy,2025-03-04
15,AAPL,233.85,36,Buy,2025-03-04
30,AAPL,232.73,4,Sell,2025-03-04
37,AAPL,237.31,29,Buy,2025-03-04
31,AAPL,234.86,2,Sell,2025-03-04
16,AAPL,234.55,39,Buy,2025-03-04
41,AAPL,236.3,4,Sell,2025-03-04
44,AAPL,235.13,40,Buy,2025-03-04
24,AAPL,237.72,39,Buy,2025-03-04
14,AAPL,238.09,3,Buy,2025-03-04
20,AAPL,234.16,45,Buy,2025-03-04
15,AAPL,232.3,46,Buy,2025-03-04
50,AAPL,236.87,22,Buy,2025-03-04
50,AAPL,235.84,7,Sell,2025-03-04
45,AAPL,237.55,15,Buy,2025-03-04
4,AAPL,236.25,37,Buy,2025-03-04
50,AAPL,237.32,13,Sell,2025-03-04
49,AAPL,230.97,27,Buy,2025-03-04
25,AAPL,237.29,10,Buy,2025-03-04
49,AAPL,231.37,44,Buy,2025-03-04
45,AAPL,239.54,32,Buy,2025-03-04
32,AAPL,238.86,29,Sell,2025-03-04
25,AAPL,231.42,8,Buy,2025-03-04
2,AAPL,230.46,1,Buy,2025-03-05
41,AAPL,235.48,41,Buy,2025-03-05
1,AAPL,237.34,12,Buy,2025-03-05
28,AAPL,234.85,22,Buy,2025-03-05
4,AAPL,231.79,8,Buy,2025-03-05
14,AAPL,235.81,2,Sell,2025-03-05
8,AAPL,233.56,32,Buy,2025-03-05
49,AAPL,232.9,18,Sell,2025-03-05
29,AAPL,232.48,80,Sell,2025-03-05
13,AAPL,233.33,31,Buy,2025-03-05
42,AAPL,234.96,43,Buy,2025-03-05
44,AAPL,238.43,26,Buy,2025-03-05
37,AAPL,235.08,48,Buy,2025-03-05
