user_id,stock,price,quantity,side,timestamp
28,AAPL,239.27,24,Buy,2025-03-03
36,AAPL,233.9,48,Buy,2025-03-03
49,AAPL,236.72,34,Buy,2025-03-03
17,AAPL,233.41,49,Buy,2025-03-03
18,AAPL,234.44,19,Buy,2025-03-03
41,AAPL,240.74,35,Buy,2025-03-03
49,AAPL,235.61,11,Sell,2025-03-03
11,AAPL,238.13,16,Buy,2025-03-03
32,AAPL,237.64,35,Buy,2025-03-03
19,AAPL,240.62,36,Buy,2025-03-03
19,AAPL,232.32,46,Buy,2025-03-03
14,AAPL,237.23,4,Buy,2025-03-03
43,AAPL,232.49,16,Buy,2025-03-03
24,AAPL,233.16,41,Buy,2025-03-03
22,AAPL,232.6,25,Buy,2025-03-03
11,AAPL,239.64,12,Buy,2025-03-03
12,AAPL,238.58,33,Buy,2025-03-03
40,AAPL,235.69,11,Buy,2025-03-03
27,AAPL,237.36,23,Buy,2025-03-03
34,AAPL,234.17,42,Buy,2025-03-03
9,AAPL,241.15,49,Buy,2025-03-03
3,AAPL,238.96,2,Buy,2025-03-03
19,AAPL,237.81,14,Sell,2025-03-03
16,AAPL,235.75,26,Buy,2025-03-03
28,AAPL,234.74,39,Buy,2025-03-03
20,AAPL,232.84,32,Buy,2025-03-04
18,AAPL,237.4,16,Sell,2025-03-04
26,AAPL,231.33,35,Buy,2025-03-04
50,AAPL,235.61,48,Buy,2025-03-04
3,AAPL,235.57,26,Buy,2025-03-04
5,AAPL,231.45,47,Buy,2025-03-04
41,AAPL,239.47,21,Buy,2025-03-04
34,AAPL,237.54,28,Buy,2025-03-04
13,AAPL,230.84,3,Buy,2025-03-04
16,AAPL,230.21,5,Buy,2025-03-04
11,AAPL,233.49,10,Sell,2025-03-04
35,AAPL,236.19,14,Buy,2025-03-04
39,AAPL,238.82,31,Buy,2025-03-04
30,AAPL,238.63,47,Buy,2025-03-04
27,AAPL,233.82,33,Buy,2025-03-04
29,AAPL,238.99,16,Buy,2025-03-04
19,AAPL,232.24,16,Sell,2025-03-04
21,AAPL,231.69,34,Buy,2025-03-04
31,AAPL,231.53,14,Buy,2025-03-04
47,AAPL,235.15,43,Buy,2025-03-04
46,AAPL,237.59,22,Buy,2025-03-04
28,AAPL,235.55,19,Sell,2025-03-04
48,AAPL,237.24,44,Buy,2025-03-04
